region;north;east;south;west;demand
Panama;12.5;-77.05;5;-84.317;8.72038
Papua New Guinea;2.596;162.803;-9.755;139.201;4.136722222
Peru;-0.039;-68.65;-20.208;-84.671;50.214224
Philippines;22.254;129.944;3.105;113.678;96.088512
Phoenix Group;0.587;-167.373;-7.785;-177.884;#N/A
Pitcairn;-20.561;-121.109;-28.425;-133.433;#N/A
Puerto Rico;21.854;-65.015;14.93;-68.497;16.133822
Republic of Mauritius;-8.436;67.048;-23.81;53.804;2.9045
Republic of the Congo;3.709;18.649;-6.734;8.911;#N/A
Réunion;-18.286;58.244;-24.737;51.8;#N/A
Saint Helena;-12.549;-2.168;-19.38;-9.253;0.00680866
Saint Kitts and Nevis;17.662;-62.374;16.342;-63.625;0.17374
Saint Lucia;14.273;-60;13.243;-62.864;0.3234157
Saint Vincent and the Grenadines;14.08;-60.295;12.062;-63.369;0.1372
Saint-Barthélemy;18.312;-62.226;17.642;-63.107;#N/A
Samoa;-10.961;-170.543;-15.878;-174.511;0.14183
Sao Tome and Principe;2.71;8.55;-1.482;3.203;0.078
Sao Tome and Principe;3.039;7.607;1.155;3.576;0.078
Saudi Arabia;30;55.667;16.29;34.456;331.5737
Senegal;16.692;-11.346;10.645;-20.214;4.82698
Senegal;12.335;-16.889;9.339;-20.189;4.82698
Senkaku Islands;28.313;125.68;25.053;122.611;#N/A
Serranilla Bank;15.998;-79.648;15.596;-80.063;#N/A
Seychelles;-0.361;59.631;-12.757;43.176;0.505894
Sierra Leone;10;-10.275;4.187;-16.554;0.130708
Sint-Eustatius;17.736;-62.77;16.681;-63.623;#N/A
Sint-Maarten;18.065;-62.958;17.815;-63.286;#N/A
Solomon Islands;-4.14;173.593;-16.127;154.586;0.09077126
South Africa;-22.124;36.531;-30;13.348;204.91374
South Korea;30;129.15;28.6;125.925;534.2725603
Sri Lanka;11.449;85.233;2.566;77.023;14.502276
Sudan;22.231;39.735;8.644;21.815;13.060233
Sudan;23.333;37.829;21.89;34.082;13.060233
Suriname;9.353;-52.521;1.839;-58.066;2.324708
Taiwan;26.931;123.545;17.264;114.237;261.2194853
Tanzania;-0.985;43.282;-11.762;29.329;6.6547
Thailand;20.465;105.636;5.61;95.53;199.9904776
Togo;11.138;2.416;2.884;-0.147;1.454061
Tokelau;-6.466;-168.002;-11.048;-175.888;#N/A
Tonga;-14.155;-171.305;-25.696;-179.088;0.062448
Trindade;-17.119;-25.294;-23.878;-32.899;#N/A
Trinidad and Tobago;12.355;-57.118;9.832;-62.083;8.213919
Turks and Caicos Islands;25.032;-68.827;20.594;-72.681;0.232618
Tuvalu;-3.966;180;-13.24;172.71;0
Tuvalu;-4.062;-176.756;-12.938;-180;0
United Arab Emirates;26.413;55.728;22.631;51.5;122.623
United States;30;-65.7;23.833;-129.235;3989.378249
United States Virgin Islands;19.621;-63.887;15.655;-65.981;0.568
Vanuatu;-12.282;173.609;-21.643;163.309;0.06385674
Venezuela;16.747;-58.82;0.626;-73.351;56.532821
Venezuela;15.413;-68.862;15.177;-70.418;56.532821
Vietnam;23.382;112.882;6.097;102.143;212.91744
Wallis and Futuna;-12.938;180;-13.909;179.505;#N/A
Wallis and Futuna;-9.83;-174.267;-15.919;-180;#N/A
Western Sahara;27.834;-8.666;19.33;-20.667;0
Yemen;19;57.946;8.953;41.082;2.739926
